,externalfilenum,jobtypedescription,address,issuedate,inspectiontype,fulldeficiency,outcome,inspectioncompleteddate,disciplinetype,general_contractor,checklist,statusname,deficiencies,x_coord,y_coord,processid,point,:@computed_region_qeuu_piif,:@computed_region_xxr9_iwz2,deficiencyresolved,resolveddate,permitclosedate,permitholder
10,BP2019-02968,Commercial / Multi Family Project,#518 850 BELMONT DR SW,2019-04-01T00:00:00.000,Final,"9.14.6 Site grading, slope drainage away from the building -Rear door to remain secured shut till site grading completed and code compliant safe access it made from door.",Acceptable with Conditions,2023-04-20T00:00:00.000,Building Deficiencies,,Exterior,COMP,False,-114.06308934100596,50.8638551714287,430651690,"{'type': 'Point', 'coordinates': [-114.063089341006, 50.863855171429]}",18,13,,,2023-04-20T00:00:00.000,
11,BP2019-02968,Commercial / Multi Family Project,#518 850 BELMONT DR SW,2019-04-01T00:00:00.000,Final,9.27 4  Seal mechanical penetrations at siding -Pipe above man door by garage doors.,Acceptable with Conditions,2023-04-20T00:00:00.000,Building Deficiencies,,Exterior,COMP,False,-114.06308934100596,50.8638551714287,430651690,"{'type': 'Point', 'coordinates': [-114.063089341006, 50.863855171429]}",18,13,,,2023-04-20T00:00:00.000,
12,BP2019-02968,Commercial / Multi Family Project,#518 850 BELMONT DR SW,2019-04-01T00:00:00.000,Final,"Contractor to complete items, then may continue",Acceptable with Conditions,2023-04-20T00:00:00.000,Building Deficiencies,,Directives,COMP,False,-114.06308934100596,50.8638551714287,430651690,"{'type': 'Point', 'coordinates': [-114.063089341006, 50.863855171429]}",18,13,,,2023-04-20T00:00:00.000,
13,BP2019-02968,Commercial / Multi Family Project,#518 850 BELMONT DR SW,2019-04-01T00:00:00.000,Final,DCP inspections required to be completed prior to occupancy,Acceptable with Conditions,2023-04-20T00:00:00.000,Building Deficiencies,,Directives,COMP,False,-114.06308934100596,50.8638551714287,430651690,"{'type': 'Point', 'coordinates': [-114.063089341006, 50.863855171429]}",18,13,,,2023-04-20T00:00:00.000,
14,BP2019-02968,Commercial / Multi Family Project,#518 850 BELMONT DR SW,2019-04-01T00:00:00.000,Final,"Field Level Hazard Assessment: Conditions were -1 and Cloudy. Handrails, Guards. No unsafe conditions identified. Hard hat, Safety boots, vest and booties worn.",Acceptable with Conditions,2023-04-20T00:00:00.000,Building Deficiencies,,Field Level Hazard Assessment (FLHA),COMP,False,-114.06308934100596,50.8638551714287,430651690,"{'type': 'Point', 'coordinates': [-114.063089341006, 50.863855171429]}",18,13,,,2023-04-20T00:00:00.000,
15,BP2019-02968,Commercial / Multi Family Project,#518 850 BELMONT DR SW,2019-04-01T00:00:00.000,Final,Gas permit to be completed prior to occupancy,Acceptable with Conditions,2023-04-20T00:00:00.000,Building Deficiencies,,Directives,COMP,False,-114.06308934100596,50.8638551714287,430651690,"{'type': 'Point', 'coordinates': [-114.063089341006, 50.863855171429]}",18,13,,,2023-04-20T00:00:00.000,
16,BP2019-02968,Commercial / Multi Family Project,#518 850 BELMONT DR SW,2019-04-01T00:00:00.000,Final,Pre-Possession Inspection Observations were:  4 Unit row houses. C1 and C2 given to attending SCO. Non vented soffit between each unit. Garage door and Mechanical door have self closing devices installed. Rear door secured shut. See notice for infractions.,Acceptable with Conditions,2023-04-20T00:00:00.000,Building Deficiencies,,General Inspection Observations,COMP,False,-114.06308934100596,50.8638551714287,430651690,"{'type': 'Point', 'coordinates': [-114.063089341006, 50.863855171429]}",18,13,,,2023-04-20T00:00:00.000,
17,BP2022-15263,Residential Improvement Project,211B CORNER MEADOWS AV NE,2022-09-09T00:00:00.000,Framing,9.7.5.2. Resistance To Forced Entry - Deadbolt Lock - for secondary suite,Acceptable with Conditions,2023-05-25T00:00:00.000,Building Deficiencies,MCNEDRA RENOVATIONS,All Secondary Suite's and RVI's,COMP,False,-113.93276175854983,51.14801869136138,392156644,"{'type': 'Point', 'coordinates': [-113.93276175855, 51.148018691361]}",204,5,,,,
18,BP2022-15263,Residential Improvement Project,211B CORNER MEADOWS AV NE,2022-09-09T00:00:00.000,Framing,"Field Level Hazard Assessment:  Conditions were sunny and dry. Handrails, Guards and Fencing were in place. No unsafe conditions identified. Hard hat, Safety boots and vest worn.",Acceptable with Conditions,2023-05-25T00:00:00.000,Building Deficiencies,MCNEDRA RENOVATIONS,Field Level Hazard Assessment (FLHA),COMP,False,-113.93276175854983,51.14801869136138,392156644,"{'type': 'Point', 'coordinates': [-113.93276175855, 51.148018691361]}",204,5,,,,
19,BP2019-14264,Residential Improvement Project,13 SADDLEBROOK CI NE,2019-10-21T00:00:00.000,Framing,"Received engineers field review for the side door entrance, as requested. Building permit completed.",Acceptable  - Close Permit,2023-04-20T00:00:00.000,Building Deficiencies,,Directives,COMP,False,-113.92967059526647,51.133889281256074,426662513,"{'type': 'Point', 'coordinates': [-113.929670595266, 51.133889281256]}",86,5,,,2023-04-20T00:00:00.000,N\A
20,BP2019-07107,Residential Improvement Project,6004 DALGETTY DR NW,2019-06-21T00:00:00.000,Final,Field Level Hazard Assessment: PPE worn. Sunny. Safe to enter.,Acceptable with Conditions,2023-05-01T00:00:00.000,Building Deficiencies,"CHOWDHURY, NAZMUS",Field Level Hazard Assessment (FLHA),COMP,False,-114.14953757731327,51.10567892742767,294042227,"{'type': 'Point', 'coordinates': [-114.149537577313, 51.105678927428]}",299,4,,,2023-05-01T00:00:00.000,
21,BP2019-16712,Single Construction Permit,3912 202 AV SE,2019-12-19T00:00:00.000,Final,"Pre-Possession Inspection Observations were:  Siding appears to be complete. All smoke and co alarms installed in correct locations. Deck built out back. All interior, exterior hand and guard rail installed.",Acceptable with Conditions,2023-06-21T00:00:00.000,Building Deficiencies,BROOKFIELD RESIDENTIAL (ALBERTA),General Inspection Observations,COMP,False,-113.94759885711001,50.86753085588761,441632175,"{'type': 'Point', 'coordinates': [-113.94759885711, 50.867530855888]}",145,12,,,,
22,BP2020-00162,Residential Improvement Project,1622G 6 ST NW,2020-01-08T00:00:00.000,Framing,No Infractions Noted - No Further BLDG. Inspections Required,Acceptable,2023-06-22T00:00:00.000,Building Deficiencies,,All Secondary Suite's and RVI's,COMP,False,-114.07515879417068,51.06626449205781,337136754,"{'type': 'Point', 'coordinates': [-114.075158794171, 51.066264492058]}",34,7,1.0,2023-06-22T00:00:00.000,,
23,BP2022-15110,Single Construction Permit,30 ROYSTON TC NW,2022-09-07T00:00:00.000,Final,No Infractions Noted - No Further BLDG. Inspections Required,Acceptable,2023-05-08T00:00:00.000,Building Deficiencies,CEDARGLEN GROUP (THE),Directives,COMP,False,-114.27361956669611,51.10752940651455,432584105,"{'type': 'Point', 'coordinates': [-114.273619566696, 51.107529406515]}",142,1,,,2023-05-09T00:00:00.000,
24,BP2022-15110,Single Construction Permit,30 ROYSTON TC NW,2022-09-07T00:00:00.000,Final,"Pre-Possession Inspection Observations were:  - No driveway poured, site grading not complete, no rear deck, undeveloped basement, smoke & co in correct locations, requested photos have been uploaded to file for the bearing wall sheathing.",Acceptable,2023-05-08T00:00:00.000,Building Deficiencies,CEDARGLEN GROUP (THE),General Inspection Observations,COMP,False,-114.27361956669611,51.10752940651455,432584105,"{'type': 'Point', 'coordinates': [-114.273619566696, 51.107529406515]}",142,1,,,2023-05-09T00:00:00.000,
25,BP2020-04401,Commercial / Multi Family Project,263 25 AV NE,2020-08-24T00:00:00.000,Final,"Field Level Hazard Assessment: -2 Degrees C, overcast, calm, light snow. The site is well fenced. I suggest an additional sea can  for tools storage and deter vandalism, but this is not a Code requirement.Please exercise caution when this small structure is taken down. PPE worn.",Acceptable,2023-04-20T00:00:00.000,Building Deficiencies,,Field Level Hazard Assessment (FLHA),COMP,False,-114.05707710239547,51.07504581058592,430258163,"{'type': 'Point', 'coordinates': [-114.057077102395, 51.075045810586]}",97,7,,,2023-04-20T00:00:00.000,
26,BP2020-04401,Commercial / Multi Family Project,263 25 AV NE,2020-08-24T00:00:00.000,Final,The structure here is simply a minor engineered truss roof atop two sea cans. The resultant 10' x 20' open air space literally keeps off the rain. This is a temporary structure to assist with the construction of a church addition across the alley. There is no floor it rather only the grade.,Acceptable,2023-04-20T00:00:00.000,Building Deficiencies,,General Inspection Observations,COMP,False,-114.05707710239547,51.07504581058592,430258163,"{'type': 'Point', 'coordinates': [-114.057077102395, 51.075045810586]}",97,7,,,2023-04-20T00:00:00.000,
27,BP2020-04539,Residential Improvement Project,24 AUBURN MEADOWS GD SE,2020-04-20T00:00:00.000,Final,Basement Development Observations were: Received text message from customer that they re-scheduled the inspection as they were not available today. Cancelling this inspection.,Cancelled,2023-04-19T00:00:00.000,Building Deficiencies,"BERMUDEZ, MAYRA FERNANDA",General Inspection Observations,FILECL,False,-113.94591364064216,50.89862194706236,249634139,"{'type': 'Point', 'coordinates': [-113.945913640642, 50.898621947062]}",285,12,,,,
28,BP2020-02408,Commercial / Multi Family Project,450 BRENTWOOD WY NW,2020-08-21T00:00:00.000,Final,"Correct and RECALL inspection. - the sprinkler VI is still needed and must be sent before we can close this permit. - NO ADDITIONAL ON SITE INSPECTION IS NEEDED, RECALL THE INSPECTION WHEN YOU HAVE THE SPRINKLER VI THEN YOU CAN EMAIL OR GIVE IT TO THE ATTENDING SCO ON THE DAY OF THE REINSPECTION.",Not Acceptable,2023-05-24T00:00:00.000,Building Deficiencies,,Directives,COMP,False,-114.12793492626669,51.08655115614162,436350144,"{'type': 'Point', 'coordinates': [-114.127934926267, 51.086551156142]}",286,4,1.0,2023-06-08T00:00:00.000,,
29,BP2020-02408,Commercial / Multi Family Project,450 BRENTWOOD WY NW,2020-08-21T00:00:00.000,Final,"Field Level Hazard Assessment: - No unsafe conditions identified. Hard hat, Safety boots and vest worn.",Not Acceptable,2023-05-24T00:00:00.000,Building Deficiencies,,Field Level Hazard Assessment (FLHA),COMP,False,-114.12793492626669,51.08655115614162,436350144,"{'type': 'Point', 'coordinates': [-114.127934926267, 51.086551156142]}",286,4,1.0,2023-06-08T00:00:00.000,,
30,BP2020-02408,Commercial / Multi Family Project,450 BRENTWOOD WY NW,2020-08-21T00:00:00.000,Final,- final walk through completed and no exit signs are in place. Discussed with the contractor about installing one more sign in the restaurant sit down area showing the exit to the back door.,Not Acceptable,2023-05-24T00:00:00.000,Building Deficiencies,,General Inspection Observations,COMP,False,-114.12793492626669,51.08655115614162,436350144,"{'type': 'Point', 'coordinates': [-114.127934926267, 51.086551156142]}",286,4,1.0,2023-06-08T00:00:00.000,,
31,BP2020-05409,Residential Improvement Project,16214 EVERSTONE RD SW,2020-05-12T00:00:00.000,Framing,"Field Level Hazard Assessment: No hazards of noteSteel toed boots, high vis wornClear, +16CSafety controls are in place.",Acceptable  - Close Permit,2023-05-25T00:00:00.000,Building Deficiencies,"GAMMON, SHAWN",Field Level Hazard Assessment (FLHA),COMP,False,-114.10261572302188,50.90655084836373,251367359,"{'type': 'Point', 'coordinates': [-114.102615723022, 50.906550848364]}",252,13,,,,
32,BP2020-01275,Residential Improvement Project,1129B TARADALE DR NE,2020-02-05T00:00:00.000,Final,"Field Level Hazard Assessment: Sunny, clear, PPE and booties worn.",Acceptable,2023-06-16T00:00:00.000,Building Deficiencies,"KHAN, MOHAMMAD",Field Level Hazard Assessment (FLHA),COMP,False,-113.93022398122032,51.12341607600377,439110382,"{'type': 'Point', 'coordinates': [-113.93022398122, 51.123416076004]}",63,5,,,,
33,BP2020-13426,Residential Improvement Project,191B DOVERTHORN CL SE,2020-09-28T00:00:00.000,Final,"9.11.1. Protection from Airborne Noise As itemized on the original BP Conditions from plans examination, please replace the hollow core door with a solid core door at the furnace room. Install the door closer ad that door is to be kept in the normally closed position.Path of travel has been limited at north bedroom window.",Acceptable,2023-05-25T00:00:00.000,Building Deficiencies,"TREFF, VALERIIA",All Secondary Suite's and RVI's,COMP,False,-113.99534954366483,51.020176387550066,435623775,"{'type': 'Point', 'coordinates': [-113.995349543665, 51.02017638755]}",20,9,,,,
34,BP2020-13426,Residential Improvement Project,191B DOVERTHORN CL SE,2020-09-28T00:00:00.000,Final,No Infractions Noted - No Further BLDG. Inspections Required This BP is now closed.,Acceptable,2023-05-25T00:00:00.000,Building Deficiencies,"TREFF, VALERIIA",Directives,COMP,False,-113.99534954366483,51.020176387550066,435623775,"{'type': 'Point', 'coordinates': [-113.995349543665, 51.02017638755]}",20,9,,,,
35,BP2021-00129,Residential Improvement Project,6040 ELBOW DR SW,2021-01-19T00:00:00.000,Framing,9.8.7.1. Handrail required on stairs with more than 3 risers,Acceptable  - Close Permit,2023-04-20T00:00:00.000,Building Deficiencies,"GALDON, MARIA DEL SOL",Guards & Handrails,COMP,False,-114.08275828245961,50.99794074852382,424110974,"{'type': 'Point', 'coordinates': [-114.08275828246, 50.997940748524]}",233,11,,,2023-04-20T00:00:00.000,
36,BP2021-00129,Residential Improvement Project,6040 ELBOW DR SW,2021-01-19T00:00:00.000,Framing,9.8.8.1. Guard/drywall required on both sides of stairs,Acceptable  - Close Permit,2023-04-20T00:00:00.000,Building Deficiencies,"GALDON, MARIA DEL SOL",Guards & Handrails,COMP,False,-114.08275828245961,50.99794074852382,424110974,"{'type': 'Point', 'coordinates': [-114.08275828246, 50.997940748524]}",233,11,,,2023-04-20T00:00:00.000,
37,BP2021-00129,Residential Improvement Project,6040 ELBOW DR SW,2021-01-19T00:00:00.000,Framing,"Basement Development Observations were: No proper framing inspection done, basement is completely finished. Basement development appears to have no structural changes. Final inspection completed.Homeowner to complete noted deficiencies and then may continue. No other inspection required. Permit file closed.",Acceptable  - Close Permit,2023-04-20T00:00:00.000,Building Deficiencies,"GALDON, MARIA DEL SOL",General Inspection Observations,COMP,False,-114.08275828245961,50.99794074852382,424110974,"{'type': 'Point', 'coordinates': [-114.08275828246, 50.997940748524]}",233,11,,,2023-04-20T00:00:00.000,
38,BP2021-00129,Residential Improvement Project,6040 ELBOW DR SW,2021-01-19T00:00:00.000,Framing,Dryer venting required to be completed to exterior,Acceptable  - Close Permit,2023-04-20T00:00:00.000,Building Deficiencies,"GALDON, MARIA DEL SOL",HVAC Exhaust,COMP,False,-114.08275828245961,50.99794074852382,424110974,"{'type': 'Point', 'coordinates': [-114.08275828246, 50.997940748524]}",233,11,,,2023-04-20T00:00:00.000,
39,BP2021-00129,Residential Improvement Project,6040 ELBOW DR SW,2021-01-19T00:00:00.000,Framing,"Fresh air damper not secured. Secure, fresh air ducting to furnace.",Acceptable  - Close Permit,2023-04-20T00:00:00.000,Building Deficiencies,"GALDON, MARIA DEL SOL",HVAC Fresh Air,COMP,False,-114.08275828245961,50.99794074852382,424110974,"{'type': 'Point', 'coordinates': [-114.08275828246, 50.997940748524]}",233,11,,,2023-04-20T00:00:00.000,
40,BP2021-06387,Residential Improvement Project,212B SUNMOUNT PL SE,2021-05-10T00:00:00.000,Final,9.10.9.14. Complete smoke barrier above electrical panel.,Acceptable with Conditions,2023-05-25T00:00:00.000,Building Deficiencies,"SANCHEZ, IVAN",All Secondary Suite's and RVI's,COMP,False,-114.0390862786696,50.90719392819253,379393208,"{'type': 'Point', 'coordinates': [-114.03908627867, 50.907193928193]}",108,14,,,,
41,BP2021-06387,Residential Improvement Project,212B SUNMOUNT PL SE,2021-05-10T00:00:00.000,Final,9.7.5.2.(4) Resistance to Forced Entry for Doors - Provide door to upper floor unit with a deadbolt lock.,Acceptable with Conditions,2023-05-25T00:00:00.000,Building Deficiencies,"SANCHEZ, IVAN",All Secondary Suite's and RVI's,COMP,False,-114.0390862786696,50.90719392819253,379393208,"{'type': 'Point', 'coordinates': [-114.03908627867, 50.907193928193]}",108,14,,,,
42,BP2021-06387,Residential Improvement Project,212B SUNMOUNT PL SE,2021-05-10T00:00:00.000,Final,"Field Level Hazard Assessment: Hazards present at time of inspection:None identifiedPPE worn at time of inspection:High visibility vest, steel toe bootsWeather conditions at time of inspection:SunshineWere site safety controls in place at time of inspection:Yes",Acceptable with Conditions,2023-05-25T00:00:00.000,Building Deficiencies,"SANCHEZ, IVAN",Field Level Hazard Assessment (FLHA),COMP,False,-114.0390862786696,50.90719392819253,379393208,"{'type': 'Point', 'coordinates': [-114.03908627867, 50.907193928193]}",108,14,,,,
43,BP2021-04874,Residential Improvement Project,71R SIENNA HEIGHTS WY SW,2021-04-01T00:00:00.000,Framing,No Infractions Noted - No Further BLDG. Inspections Required,Acceptable  - Close Permit,2023-06-09T00:00:00.000,Building Deficiencies,"MESQUITA, MARINA",Directives,COMP,False,-114.17899310921203,51.0292530955487,427376176,"{'type': 'Point', 'coordinates': [-114.178993109212, 51.029253095549]}",48,6,,,,
44,BP2022-08198,Commercial / Multi Family Project,94 HOMESTEAD BV NE,2022-07-09T00:00:00.000,Final,No further building inspections required. Granting occupancy.,Acceptable with Conditions,2023-06-29T00:00:00.000,Building Deficiencies,,Directives,COMP,False,-113.9138963031568,51.11501852636615,442964393,"{'type': 'Point', 'coordinates': [-113.913896303157, 51.115018526366]}",144,5,1.0,2023-06-29T00:00:00.000,,
45,BP2022-08198,Commercial / Multi Family Project,94 HOMESTEAD BV NE,2022-07-09T00:00:00.000,Final,Pre-Possession Inspection Observations were:  Walked all units and tested interconnection of SD/CO in all units. Final grading is still not complete - see outstanding condition. Basement building permits have been closed today. Closure of all associated trade permits is indicated in historical records. Granting full occupancy on all four units.,Acceptable with Conditions,2023-06-29T00:00:00.000,Building Deficiencies,,General Inspection Observations,COMP,False,-113.9138963031568,51.11501852636615,442964393,"{'type': 'Point', 'coordinates': [-113.913896303157, 51.115018526366]}",144,5,1.0,2023-06-29T00:00:00.000,,
46,BP2022-08203,Single Construction Permit,83 HERRON RI NE,2022-06-10T00:00:00.000,Final,Field Level Hazard Assessment: Site safe and clean,Acceptable with Conditions,2023-06-21T00:00:00.000,Building Deficiencies,BROOKFIELD RESIDENTIAL (ALBERTA),Field Level Hazard Assessment (FLHA),COMP,False,-114.05249413823712,51.18851454504596,441668630,"{'type': 'Point', 'coordinates': [-114.052494138237, 51.188514545046]}",212,3,,,,
47,BP2022-08203,Single Construction Permit,83 HERRON RI NE,2022-06-10T00:00:00.000,Final,Pre-Possession Inspection Observations were:  Home ready for occupancy inspection.N o deck or deck piles,Acceptable with Conditions,2023-06-21T00:00:00.000,Building Deficiencies,BROOKFIELD RESIDENTIAL (ALBERTA),General Inspection Observations,COMP,False,-114.05249413823712,51.18851454504596,441668630,"{'type': 'Point', 'coordinates': [-114.052494138237, 51.188514545046]}",212,3,,,,
48,BP2021-06387,Residential Improvement Project,212B SUNMOUNT PL SE,2021-05-10T00:00:00.000,Final,Secondary Suite Inspection Observations were: MP2022-01210 completed.Smoke barrier appears complete with exception noted on report.Smoke/CO alarms as required.Solid core doors and self closers as required.,Acceptable with Conditions,2023-05-25T00:00:00.000,Building Deficiencies,"SANCHEZ, IVAN",General Inspection Observations,COMP,False,-114.0390862786696,50.90719392819253,379393208,"{'type': 'Point', 'coordinates': [-114.03908627867, 50.907193928193]}",108,14,,,,
49,BP2021-06591,Residential Improvement Project,118 LAKE ERIE PL SE,2021-05-14T00:00:00.000,Framing,No Further Building Inspections Required.,Acceptable  - Close Permit,2023-06-15T00:00:00.000,Building Deficiencies,BAKERVIEW GARAGES & CONSTRUCTION,Garage Inspection,COMP,False,-114.05901574978948,50.94509630767366,329924716,"{'type': 'Point', 'coordinates': [-114.059015749789, 50.945096307674]}",190,14,,,,
50,BP2022-08203,Single Construction Permit,83 HERRON RI NE,2022-06-10T00:00:00.000,Final,Roof FRONT ATTACHED GARAGE ROOF REQUIRES SHINGLES.,Acceptable with Conditions,2023-06-21T00:00:00.000,Building Deficiencies,BROOKFIELD RESIDENTIAL (ALBERTA),Roof,COMP,False,-114.05249413823712,51.18851454504596,441668630,"{'type': 'Point', 'coordinates': [-114.052494138237, 51.188514545046]}",212,3,,,,
51,BP2022-08203,Single Construction Permit,83 HERRON RI NE,2022-06-10T00:00:00.000,Final,The device box is required to be securely fastened to the building structure [Rule 12-3010(1)] Fire place receptacle.,Acceptable with Conditions,2023-06-21T00:00:00.000,Electrical Deficiencies,BROOKFIELD RESIDENTIAL (ALBERTA),,COMP,False,-114.05249413823712,51.18851454504596,441668631,"{'type': 'Point', 'coordinates': [-114.052494138237, 51.188514545046]}",212,3,,,,
52,BP2022-08208,Single Construction Permit,220 CREEKSTONE RO SW,2022-06-10T00:00:00.000,Final,"9.14.6 Site grading, slope drainage away from the building",Acceptable with Conditions,2023-06-21T00:00:00.000,Building Deficiencies,BROOKFIELD RESIDENTIAL (ALBERTA),Exterior,COMP,False,-114.06752306198966,50.86185488446863,441661105,"{'type': 'Point', 'coordinates': [-114.06752306199, 50.861854884469]}",208,13,,,,
53,BP2022-08208,Single Construction Permit,220 CREEKSTONE RO SW,2022-06-10T00:00:00.000,Final,9.8.8  Rear door has been secured closed -Rear door need to remain closed till code compliant safe access is made.,Acceptable with Conditions,2023-06-21T00:00:00.000,Building Deficiencies,BROOKFIELD RESIDENTIAL (ALBERTA),Exterior,COMP,False,-114.06752306198966,50.86185488446863,441661105,"{'type': 'Point', 'coordinates': [-114.06752306199, 50.861854884469]}",208,13,,,,
54,BP2022-08208,Single Construction Permit,220 CREEKSTONE RO SW,2022-06-10T00:00:00.000,Final,"Field Level Hazard Assessment: Conditions were 11 and Partly Cloudy. Handrails, Guards. No unsafe conditions identified. Hard hat, Safety boots, vest and booties worn.",Acceptable with Conditions,2023-06-21T00:00:00.000,Building Deficiencies,BROOKFIELD RESIDENTIAL (ALBERTA),Field Level Hazard Assessment (FLHA),COMP,False,-114.06752306198966,50.86185488446863,441661105,"{'type': 'Point', 'coordinates': [-114.06752306199, 50.861854884469]}",208,13,,,,
55,BP2022-08208,Single Construction Permit,220 CREEKSTONE RO SW,2022-06-10T00:00:00.000,Final,Pre-Possession Inspection Observations were:  Detached home with attached garage. Basement undeveloped. Rear door secured shut. See notice for directives.,Acceptable with Conditions,2023-06-21T00:00:00.000,Building Deficiencies,BROOKFIELD RESIDENTIAL (ALBERTA),General Inspection Observations,COMP,False,-114.06752306198966,50.86185488446863,441661105,"{'type': 'Point', 'coordinates': [-114.06752306199, 50.861854884469]}",208,13,,,,
